symbol,end,ico_end_marketcap,ico_token_price
PRG,2017-10-16,6000000,1
CPT,2017-10-16,15300000,0.34
NRN,2017-10-14,11158215,0.1
STU,2017-10-13,2726424,0.83
DATA,2017-10-13,27000000,0.0615
TIE,2017-10-12,6399760,0.24
RYZ,2017-10-12,1759099,0.02
AST,2017-10-11,12600000,0.3
LAT,2017-10-10,18880673,0.42
ART,2017-10-10,15375432,0.66
AION,2017-10-10,8075700,0.75
DRT,2017-10-09,67200000,0.12
RPX,2017-10-08,14500000,0.0358
PPP,2017-10-08,26000000,0.34
AIR,2017-10-06,15000000,0.02
POWR,2017-10-06,13240000,0.0838
WAN,2017-10-04,36000000,0.34
REAL,2017-09-30,10604571,1.32
ALIS,2017-09-29,3705000,0.0983
INXT,2017-09-28,2208,1.02
CTR,2017-09-26,26100000,0.73
KIN,2017-09-25,48594816,0.0001
CND,2017-09-24,15000000,0.01
MOD,2017-09-22,13350000,1
ICX,2017-09-20,42750000,0.11
LINK,2017-09-19,32000000,0.11
SUB,2017-09-17,13800000,0.0817
DATA,2017-09-17,5200000,0.055
KC,2017-09-16,21581925,0.085
KNC,2017-09-16,46000000,0.38
ICOS,2017-09-16,14945400,29.1
SCL,2017-09-15,5243080,0.46
CSNO,2017-09-15,8748793,0.0875
CAG,2017-09-14,9878150,0.55
BMC,2017-09-13,30000000,1
ENG,2017-09-11,45000000,0.6
RVT,2017-09-10,20000000,0.88
FIL,2017-09-08,257000000,5
IND,2017-09-07,9247392,0.33
HBT,2017-09-07,7130256,0.33
AVT,2017-09-06,18780000,3.4
VIB,2017-09-05,12000000,0.1
TRX,2017-09-02,70000000,0.0019
MTH,2017-08-31,35910000,0.16
EVX,2017-08-31,25840000,2.1
DAY,2017-08-30,7502120,15.38
DIM,2017-08-27,14005746,0.82
OPT,2017-08-25,5737250,0.0362
MANA,2017-08-19,24137000,0.024
PIX,2017-08-19,12112616,0.11
DELTA,2017-08-18,30100000,0.43
CAT,2017-08-16,6284400,0.88
ZRX,2017-08-16,24000000,0.048
SALT,2017-08-15,48500000,0.89
POE,2017-08-09,10000000,0.0064
TNT,2017-08-09,25000000,0.071
XTZ,2017-07-14,230533089,0.47
PLBT,2017-06-30,62956169,10
EOS,2017-06-26,196874404,0.99
PAY,2017-06-24,80000000,0.64
OMG,2017-06-23,25000000,0.35
CVC,2017-06-21,33000000,0.01
SNT,2017-06-20,107664907,0.037
SNM,2017-06-18,42000000,0.16
MCO,2017-06-18,54317213,3.8
BNT,2017-07-12,153000000,3.92
CFI,2017-06-07,14820030,0.12
MGO,2017-05-25,106138404,0.76
STORJ,2017-05-25,30000000,0.5
TIME,2017-02-14,5412000,10
CYPHER,,25000000,
